,1,2,3,4,5
02-Jan,1.684966,1.685873,1.695678,1.725895,1.750122
03-Jan,1.684965,1.695434,1.705987,1.743728,1.741212
06-Jan,1.689845,1.704268,1.712837,1.753878,1.76236
07-Jan,1.699045,1.728792,1.732984,1.792384,1.803432
08-Jan,1.694387,1.723872,1.748024,1.774678,1.765678
09-Jan,1.693424,1.703487,1.734789,1.831249,1.833534
10-Jan,1.703487,1.714878,1.756467,1.82389,1.833234
13-Jan,1.684537,1.689345,1.724789,1.748909,1.772623
14-Jan,1.703847,1.718046,1.734878,1.73894,1.831388
15-Jan,1.712389,1.734898,1.753894,1.764783,1.823701
