,i1,i2,i3,i4,i5
,5.93E-03,0.005655225,0.006061168,0.010279594,0.005104077
j1,0.002892017,0.005196938,0.004007231,0.005803986,0.012072397
j2,0.00542952,0.014287206,0.011693718,0.021717241,0.023037696
j3,0.002745305,0.002849975,0.008641229,0.009927579,0.021156764
j4,0.000568509,0.011895597,0.007600215,0.03137925,0.0377105
j5,0.005924812,0.006664614,0.012418613,0.004026665,0.000163632
j6,0.011186578,0.015001061,0.018199681,0.041979418,0.03362125
j7,0.011397887,0.016846719,0.00583237,0.005716433,0.032613779
j8,0.005000836,0.009761024,0.010901365,0.014752004,0.004206197
j9,5.11E-02,8.82E-02,8.54E-02,1.46E-01,1.70E-01
